slm01esx200.mud.internal.co.za SLM02-GLD04-DIA-NMP-TMP01 naa.60050768108100d91800000000000071
slm02esx202.mud.internal.co.za SLM02-GLD04-DIA-NMP-DAT10 naa.60050768108100d918000000000000ce 
slm02esx201.mud.internal.co.za SLM02-GLD04-DIA-NMP-DAT13 naa.60050768108100d918000000000000d1
slm02esx200.mud.internal.co.za SLM02-GLD04-DIA-NMP-DAT11 naa.60050768108100d918000000000000cf 
slm02esx144.mud.internal.co.za SLM02-GLD03-DIA-MSP-DAT01 naa.60050768108100d91800000000000073 
slm02esx162.mud.internal.co.za SLM02-GLD04-DIA-NMP-DAT13 naa.60050768108100d918000000000000d1 
slm02esx203.mud.internal.co.za SLM02-GLD04-DIA-NMP-DAT09 naa.60050768108100d918000000000000cd 
stm02esx083.mud.internal.co.za STM02-GLD02-DIA-MSP-DAT02 naa.60050768108100d9180000000000006f 
slm02esx163.mud.internal.co.za SLM02-GLD04-DIA-NMP-DAT05 naa.60050768108100d91800000000000072 
stm02esx086.mud.internal.co.za STM02-GLD02-DIA-MSP-DAT03 naa.60050768108100d91800000000000070 
stm02esx084.mud.internal.co.za STM02-GLD02-DIA-MSP-DAT02 naa.60050768108100d9180000000000006f 
slm02esx145.mud.internal.co.za SLM02-GLD03-DIA-MSP-DAT01 naa.60050768108100d91800000000000073 
slm02esx146.mud.internal.co.za SLM02-GLD03-DIA-MSP-DAT02 naa.60050768108100d91800000000000074
stm02esx081.mud.internal.co.za STM02-GLD05-DIA-NMP-SRV007609 naa.60050768108100d918000000000000c0  
stm02esx085.mud.internal.co.za STM02-GLD02-DIA-MSP-DAT02 naa.60050768108100d9180000000000006f 
slm02esx147.mud.internal.co.za SLM02-GLD03-DIA-MSP-DAT02 naa.60050768108100d91800000000000074 
slm02esx143.mud.internal.co.za SLM02-GLD03-DIA-MSP-DAT02 naa.60050768108100d91800000000000074 
