#TYPE VMware.VimAutomation.ViCore.Impl.V1.VM.UniversalVirtualMachineImpl
"Name","PowerState","Notes","Guest","NumCpu","CoresPerSocket","MemoryMB","MemoryGB","VMHostId","VMHost","VApp","FolderId","Folder","ResourcePoolId","ResourcePool","HARestartPriority","HAIsolationResponse","DrsAutomationLevel","VMSwapfilePolicy","VMResourceConfiguration","Version","HardwareVersion","PersistentId","GuestId","UsedSpaceGB","ProvisionedSpaceGB","DatastoreIdList","CreateDate","SEVEnabled","BootDelayMillisecond","ExtensionData","CustomFields","Id","Uid"
"SRV005032","PoweredOff","","SRV005032:","4","4","16384","16","HostSystem-host-29274","stmcdc02esx003.mud.internal.co.za",,"Folder-group-v22","vm","ResourcePool-resgroup-28993","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/4000 MemShares:Normal/163840","Unknown","vmx-15","503f0cb3-054d-fd26-21d6-14eb57376a2f","windows8Server64Guest","130.02044678200036287307739258","146.21605018060654401779174805","System.String[]","1/1/1970 12:00:00 AM",,"0","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-47946","/VIServer=mud\da003089@srv007282:443/VirtualMachine=VirtualMachine-vm-47946/"
"SRV005122","PoweredOff","Server Description: NoSQL Mongo - PRD
Server Owners: Renier van Collier; Raj Kumar Sharma","SRV005122:","6","6","16384","16","HostSystem-host-318","stm02esx083.mud.internal.co.za",,"Folder-group-v22","vm","ResourcePool-resgroup-317","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/6000 MemShares:Normal/163840","v9","vmx-09","503f0852-f240-ccfe-6207-cc35393d24bc","rhel6_64Guest","55.002326021902263164520263672","71.217910802923142910003662110","System.String[]","1/1/1970 12:00:00 AM",,"0","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-47947","/VIServer=mud\da003089@srv007282:443/VirtualMachine=VirtualMachine-vm-47947/"
"SRV005146","PoweredOff","Server Description: Santam Job Scheduling Manager - PRD
Server owners: BCX OSS (LINUX)","SRV005146:","2","2","12288","12","HostSystem-host-327","stm02esx086.mud.internal.co.za",,"Folder-group-v22","vm","ResourcePool-resgroup-317","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/122880","v8","vmx-08","503f1a55-6f70-fe2c-29ed-7afd5317b118","rhel6_64Guest","110.00206607300788164138793945","122.20979302003979682922363281","System.String[]","1/1/1970 12:00:00 AM",,"0","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-47948","/VIServer=mud\da003089@srv007282:443/VirtualMachine=VirtualMachine-vm-47948/"
"SRV005342","PoweredOff","","SRV005342:","2","2","4096","4","HostSystem-host-318","stm02esx083.mud.internal.co.za",,"Folder-group-v22","vm","ResourcePool-resgroup-317","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/40960","v8","vmx-08","5018798e-a019-e126-3fb3-81ceec179be6","rhel6_64Guest","65.002499670721590518951416016","69.210226616822183132171630860","System.String[]","1/1/1970 12:00:00 AM",,"0","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-47949","/VIServer=mud\da003089@srv007282:443/VirtualMachine=VirtualMachine-vm-47949/"
"SRV006020","PoweredOff","Server Description: Fusion AM - New PRD
Server owners: Alain Williams","SRV006020:","2","2","8192","8","HostSystem-host-327","stm02esx086.mud.internal.co.za",,"Folder-group-v22","vm","ResourcePool-resgroup-317","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/81920","v11","vmx-11","50188880-3ddb-5846-0ffc-cbaba2e44a24","rhel7_64Guest","145.00271223671734333038330078","153.21048218011856079101562500","System.String[]","1/1/1970 12:00:00 AM",,"0","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-47950","/VIServer=mud\da003089@srv007282:443/VirtualMachine=VirtualMachine-vm-47950/"
"SRV007523","PoweredOff","3e15de39-807c-4ae4-a2dc-e15c162bd476","SRV007523:","2","2","6144","6","HostSystem-host-324","stm02esx084.mud.internal.co.za",,"Folder-group-v22","vm","ResourcePool-resgroup-317","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/61440","v8","vmx-08","503d2bc9-0baa-cceb-b5d7-cee45a406e12","rhel6_64Guest","85.00271470658481121063232422","91.21044121216982603073120117","System.String[]","1/1/1970 12:00:00 AM",,"0","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-47951","/VIServer=mud\da003089@srv007282:443/VirtualMachine=VirtualMachine-vm-47951/"
"SRV007845","PoweredOff","","SRV007845:","2","2","8192","8","HostSystem-host-29071","stmcdc02esx007.mud.internal.co.za",,"Folder-group-v22","vm","ResourcePool-resgroup-28993","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/81920","Unknown","vmx-15","503daf9a-1e51-a262-612b-fbcbb6735c8f","windows9Server64Guest","170.00286545790731906890869141","178.19453971926122903823852539","System.String[]","1/1/1970 12:00:00 AM",,"0","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-47952","/VIServer=mud\da003089@srv007282:443/VirtualMachine=VirtualMachine-vm-47952/"
"SRV008044","PoweredOff","","SRV008044:","4","4","16384","16","HostSystem-host-29071","stmcdc02esx007.mud.internal.co.za",,"Folder-group-v22","vm","ResourcePool-resgroup-28993","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/4000 MemShares:Normal/163840","Unknown","vmx-15","502b9c43-2bb7-347e-a104-34bb418db031","windows9Server64Guest","395.0127231003716588020324707","411.20832699164748191833496093","System.String[]","1/1/1970 12:00:00 AM",,"0","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-47953","/VIServer=mud\da003089@srv007282:443/VirtualMachine=VirtualMachine-vm-47953/"
"SRV008366","PoweredOff","Owner: Anwar Mathe
APP: SAS IFRS17","SRV008366:","16","8","393216","384","HostSystem-host-34247","stm02esx202.mud.internal.co.za",,"Folder-group-v285","vm","ResourcePool-resgroup-24094","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/16000 MemShares:Normal/3932160","Unknown","vmx-15","502bbfb8-e12e-bbe8-3d25-1cfae72191df","rhel6_64Guest","145.00247430056333541870117188","529.23774673603475093841552735","System.String[]","11/2/2020 4:33:19 PM",,"0","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-47954","/VIServer=mud\da003089@srv007282:443/VirtualMachine=VirtualMachine-vm-47954/"
"SRV008367","PoweredOff","Owner: Anwar Mathe
APP: SAS IFRS17","SRV008367:","4","4","32768","32","HostSystem-host-34247","stm02esx202.mud.internal.co.za",,"Folder-group-v285","vm","ResourcePool-resgroup-24094","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/4000 MemShares:Normal/327680","v8","vmx-08","502b7660-74a4-3b2d-fad4-a2dc3e3788e0","rhel6_64Guest","1856.0029499372467398643493652","1888.2146065216511487960815429","System.String[]","11/2/2020 4:53:25 PM",,"0","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-47955","/VIServer=mud\da003089@srv007282:443/VirtualMachine=VirtualMachine-vm-47955/"
