Volume Name;LUN UID;Capacity (GiB);Storage Pool ID;Storage Pool Name;Storage System name;Storage Tier;Host Mappings
A23C;0xA23C;262.9;IBM.2107-75GCR41/P0;FB_Pool;DS8886_BDC;1;jdep_pr_a2_vg01
A216;0xA216;262.9;IBM.2107-75GCR41/P0;FB_Pool;DS8886_BDC;1;jdep_pr_a2_vg01
A203;0xA203;262.9;IBM.2107-75GCR41/P0;FB_Pool;DS8886_BDC;1;jdep_pr_a2_vg01
A31B;0xA31B;262.9;IBM.2107-75GCR41/P1;FB_Pool;DS8886_BDC;1;jdep_pr_a3_vg01
A310;0xA310;262.9;IBM.2107-75GCR41/P1;FB_Pool;DS8886_BDC;1;jdep_pr_a3_vg01
A208;0xA208;262.9;IBM.2107-75GCR41/P0;FB_Pool;DS8886_BDC;1;jdep_pr_a2_vg01
A235;0xA235;262.9;IBM.2107-75GCR41/P0;FB_Pool;DS8886_BDC;1;jdep_pr_a2_vg01
A700;0xA700;150.0;IBM.2107-75GCR41/P1;FB_Pool;DS8886_BDC;1;S924_vios2:S924_vios1
A32E;0xA32E;262.9;IBM.2107-75GCR41/P1;FB_Pool;DS8886_BDC;1;jdep_pr_a3_vg01
A339;0xA339;262.9;IBM.2107-75GCR41/P1;FB_Pool;DS8886_BDC;1;jdep_pr_a3_vg01
A602;0xA602;150.0;IBM.2107-75GCR41/P0;FB_Pool;DS8886_BDC;1;S924_vios2:S924_vios1
A224;0xA224;262.9;IBM.2107-75GCR41/P0;FB_Pool;DS8886_BDC;1;jdep_pr_a2_vg01
A32A;0xA32A;262.9;IBM.2107-75GCR41/P1;FB_Pool;DS8886_BDC;1;jdep_pr_a3_vg01
A210;0xA210;262.9;IBM.2107-75GCR41/P0;FB_Pool;DS8886_BDC;1;jdep_pr_a2_vg01
A33D;0xA33D;262.9;IBM.2107-75GCR41/P1;FB_Pool;DS8886_BDC;1;jdep_pr_a3_vg01
A20E;0xA20E;262.9;IBM.2107-75GCR41/P0;FB_Pool;DS8886_BDC;1;jdep_pr_a2_vg01
A31F;0xA31F;262.9;IBM.2107-75GCR41/P1;FB_Pool;DS8886_BDC;1;jdep_pr_a3_vg01
A20B;0xA20B;262.9;IBM.2107-75GCR41/P0;FB_Pool;DS8886_BDC;1;jdep_pr_a2_vg01
A333;0xA333;262.9;IBM.2107-75GCR41/P1;FB_Pool;DS8886_BDC;1;jdep_pr_a3_vg01
A213;0xA213;262.9;IBM.2107-75GCR41/P0;FB_Pool;DS8886_BDC;1;jdep_pr_a2_vg01
A320;0xA320;262.9;IBM.2107-75GCR41/P1;FB_Pool;DS8886_BDC;1;jdep_pr_a3_vg01
A338;0xA338;262.9;IBM.2107-75GCR41/P1;FB_Pool;DS8886_BDC;1;jdep_pr_a3_vg01
A30C;0xA30C;262.9;IBM.2107-75GCR41/P1;FB_Pool;DS8886_BDC;1;jdep_pr_a3_vg01
A22B;0xA22B;262.9;IBM.2107-75GCR41/P0;FB_Pool;DS8886_BDC;1;jdep_pr_a2_vg01
A238;0xA238;262.9;IBM.2107-75GCR41/P0;FB_Pool;DS8886_BDC;1;jdep_pr_a2_vg01
A22D;0xA22D;262.9;IBM.2107-75GCR41/P0;FB_Pool;DS8886_BDC;1;jdep_pr_a2_vg01
A323;0xA323;262.9;IBM.2107-75GCR41/P1;FB_Pool;DS8886_BDC;1;jdep_pr_a3_vg01
A328;0xA328;262.9;IBM.2107-75GCR41/P1;FB_Pool;DS8886_BDC;1;jdep_pr_a3_vg01
