"Server","Time Stamp","Usage (%)"
"SRV005119","",""
"SRV005119","2019/11/29 12:00:00 AM","6,58"
"SRV005119","2019/11/29 12:30:00 AM","7,72"
"SRV005119","2019/11/29 1:00:00 AM","9,7"
"SRV005119","2019/11/29 1:30:00 AM","7,59"
"SRV005119","2019/11/29 2:00:00 AM","7,31"
"SRV005119","2019/11/29 2:30:00 AM","7,75"
"SRV005119","2019/11/29 3:00:00 AM","7,35"
"SRV005119","2019/11/29 3:30:00 AM","8,51"
"SRV005119","2019/11/29 4:00:00 AM","8,69"
"SRV005119","2019/11/29 4:30:00 AM","7,92"
"SRV005119","2019/11/29 5:00:00 AM","10,5"
"SRV005119","2019/11/29 5:30:00 AM","10,55"
"SRV005119","2019/11/29 6:00:00 AM","9,93"
"SRV005119","2019/11/29 6:30:00 AM","10,54"
"SRV005119","2019/11/29 7:00:00 AM","12,73"
"SRV005119","2019/11/29 7:30:00 AM","13,18"
"SRV005119","2019/11/29 8:00:00 AM","15,94"
"SRV005119","2019/11/29 8:30:00 AM","20,08"
"SRV005119","2019/11/29 9:00:00 AM","19,25"
"SRV005119","2019/11/29 9:30:00 AM","18,32"
"SRV005119","2019/11/29 10:00:00 AM","19,38"
"SRV005119","2019/11/29 10:30:00 AM","18,89"
"SRV005119","2019/11/29 11:00:00 AM","21,1"
"SRV005119","2019/11/29 11:30:00 AM","18,56"
"SRV005119","2019/11/29 12:00:00 PM","18,22"
"SRV005119","2019/11/29 12:30:00 PM","18,61"
"SRV005119","2019/11/29 1:00:00 PM","17,95"
"SRV005119","2019/11/29 1:30:00 PM","16,85"
"SRV005119","2019/11/29 2:00:00 PM","15,83"
"SRV005119","2019/11/29 2:30:00 PM","17,6"
"SRV005119","2019/11/29 3:00:00 PM","17,55"
"SRV005119","2019/11/29 3:30:00 PM","17,12"
"SRV005119","2019/11/29 4:00:00 PM","15,13"
"SRV005119","2019/11/29 4:30:00 PM","10,86"
"SRV005119","2019/11/29 5:00:00 PM","11"
"SRV005119","2019/11/29 5:30:00 PM","10,69"
"SRV005119","2019/11/29 6:00:00 PM","9,8"
"SRV005119","2019/11/29 6:30:00 PM","10,42"
"SRV005119","2019/11/29 7:00:00 PM","9,33"
"SRV005119","2019/11/29 7:30:00 PM","8,34"
"SRV005119","2019/11/29 8:00:00 PM","19,74"
"SRV005119","2019/11/29 8:30:00 PM","19,56"
"SRV005119","2019/11/29 9:00:00 PM","8,89"
"SRV005119","2019/11/29 9:30:00 PM","10,09"
"SRV005119","2019/11/29 10:00:00 PM","8,75"
"SRV005119","2019/11/29 10:30:00 PM","9,19"
"SRV005119","2019/11/29 11:00:00 PM","8,58"
"SRV005119","2019/11/29 11:30:00 PM","8,22"
"SRV005119","2019/11/30 12:00:00 AM","8,98"
"SRV005119","2019/11/30 12:30:00 AM","6,97"
"SRV005119","2019/11/30 1:00:00 AM","10,02"
"SRV005119","2019/11/30 1:30:00 AM","7,6"
"SRV005119","2019/11/30 2:00:00 AM","9,31"
"SRV005119","2019/11/30 2:30:00 AM","7,45"
"SRV005119","2019/11/30 3:00:00 AM","7,68"
"SRV005119","2019/11/30 3:30:00 AM","8,57"
"SRV005119","2019/11/30 4:00:00 AM","7,76"
"SRV005119","2019/11/30 4:30:00 AM","8,23"
"SRV005119","2019/11/30 5:00:00 AM","9,25"
"SRV005119","2019/11/30 5:30:00 AM","10,33"
"SRV005119","2019/11/30 6:00:00 AM","9,47"
"SRV005119","2019/11/30 6:30:00 AM","10,16"
"SRV005119","2019/11/30 7:00:00 AM","9,71"
"SRV005119","2019/11/30 7:30:00 AM","9,45"
"SRV005119","2019/11/30 8:00:00 AM","11,63"
"SRV005119","2019/11/30 8:30:00 AM","34,59"
"SRV005119","2019/11/30 9:00:00 AM","29,4"
"SRV005119","2019/11/30 9:30:00 AM","26,55"
"SRV005119","2019/11/30 10:00:00 AM","26,99"
"SRV005119","2019/11/30 10:30:00 AM","25,5"
"SRV005119","2019/11/30 11:00:00 AM","26,71"
"SRV005119","2019/11/30 11:30:00 AM","29,1"
"SRV005119","2019/11/30 12:00:00 PM","34,64"
"SRV005119","2019/11/30 12:30:00 PM","32,56"
"SRV005119","2019/11/30 1:00:00 PM","31,55"
"SRV005119","2019/11/30 1:30:00 PM","29,3"
"SRV005119","2019/11/30 2:00:00 PM","25,11"
"SRV005119","2019/11/30 2:30:00 PM","27,3"
"SRV005119","2019/11/30 3:00:00 PM","28,69"
"SRV005119","2019/11/30 3:30:00 PM","25,48"
"SRV005119","2019/11/30 4:00:00 PM","26,09"
"SRV005119","2019/11/30 4:30:00 PM","26,86"
"SRV005119","2019/11/30 5:00:00 PM","24,99"
"SRV005119","2019/11/30 5:30:00 PM","21,38"
"SRV005119","2019/11/30 6:00:00 PM","22,79"
"SRV005119","2019/11/30 6:30:00 PM","24,11"
"SRV005119","2019/11/30 7:00:00 PM","18,05"
"SRV005119","2019/11/30 7:30:00 PM","16,4"
"SRV005119","2019/11/30 8:00:00 PM","15,7"
"SRV005119","2019/11/30 8:30:00 PM","15,55"
"SRV005119","2019/11/30 9:00:00 PM","14,8"
"SRV005119","2019/11/30 9:30:00 PM","14,5"
"SRV005119","2019/11/30 10:00:00 PM","8,18"
"SRV005119","2019/11/30 10:30:00 PM","7,73"
"SRV005119","2019/11/30 11:00:00 PM","7,58"
"SRV005119","2019/11/30 11:30:00 PM","8,47"
"SRV005119","2019/12/01 12:00:00 AM","8,08"
"SRV005119","2019/12/01 12:30:00 AM","7,44"
