"Server","Time Stamp","Usage (%)"
"SRV005246","",""
"SRV005246","2019/11/29 12:00:00 AM","8,19"
"SRV005246","2019/11/29 12:30:00 AM","8,07"
"SRV005246","2019/11/29 1:00:00 AM","8,7"
"SRV005246","2019/11/29 1:30:00 AM","8,15"
"SRV005246","2019/11/29 2:00:00 AM","7,99"
"SRV005246","2019/11/29 2:30:00 AM","8,24"
"SRV005246","2019/11/29 3:00:00 AM","8,57"
"SRV005246","2019/11/29 3:30:00 AM","8,21"
"SRV005246","2019/11/29 4:00:00 AM","8,44"
"SRV005246","2019/11/29 4:30:00 AM","7,7"
"SRV005246","2019/11/29 5:00:00 AM","8,36"
"SRV005246","2019/11/29 5:30:00 AM","8,21"
"SRV005246","2019/11/29 6:00:00 AM","8,34"
"SRV005246","2019/11/29 6:30:00 AM","8,14"
"SRV005246","2019/11/29 7:00:00 AM","8,09"
"SRV005246","2019/11/29 7:30:00 AM","8,32"
"SRV005246","2019/11/29 8:00:00 AM","9,48"
"SRV005246","2019/11/29 8:30:00 AM","18,38"
"SRV005246","2019/11/29 9:00:00 AM","9,42"
"SRV005246","2019/11/29 9:30:00 AM","9,92"
"SRV005246","2019/11/29 10:00:00 AM","15,41"
"SRV005246","2019/11/29 10:30:00 AM","19,22"
"SRV005246","2019/11/29 11:00:00 AM","8,66"
"SRV005246","2019/11/29 11:30:00 AM","15,05"
"SRV005246","2019/11/29 12:00:00 PM","21,61"
"SRV005246","2019/11/29 12:30:00 PM","16,34"
"SRV005246","2019/11/29 1:00:00 PM","17,52"
"SRV005246","2019/11/29 1:30:00 PM","10,42"
"SRV005246","2019/11/29 2:00:00 PM","15,79"
"SRV005246","2019/11/29 2:30:00 PM","17,05"
"SRV005246","2019/11/29 3:00:00 PM","8,25"
"SRV005246","2019/11/29 3:30:00 PM","8,37"
"SRV005246","2019/11/29 4:00:00 PM","8,45"
"SRV005246","2019/11/29 4:30:00 PM","8,14"
"SRV005246","2019/11/29 5:00:00 PM","8,29"
"SRV005246","2019/11/29 5:30:00 PM","7,7"
"SRV005246","2019/11/29 6:00:00 PM","9,44"
"SRV005246","2019/11/29 6:30:00 PM","8,13"
"SRV005246","2019/11/29 7:00:00 PM","8,23"
"SRV005246","2019/11/29 7:30:00 PM","8,05"
"SRV005246","2019/11/29 8:00:00 PM","8,41"
"SRV005246","2019/11/29 8:30:00 PM","8,78"
"SRV005246","2019/11/29 9:00:00 PM","10,7"
"SRV005246","2019/11/29 9:30:00 PM","10,25"
"SRV005246","2019/11/29 10:00:00 PM","11,87"
"SRV005246","2019/11/29 10:30:00 PM","9,6"
"SRV005246","2019/11/29 11:00:00 PM","11,16"
"SRV005246","2019/11/29 11:30:00 PM","8,91"
"SRV005246","2019/11/30 12:00:00 AM","8,21"
"SRV005246","2019/11/30 12:30:00 AM","8,03"
"SRV005246","2019/11/30 1:00:00 AM","7,73"
"SRV005246","2019/11/30 1:30:00 AM","8,02"
"SRV005246","2019/11/30 2:00:00 AM","10,79"
"SRV005246","2019/11/30 2:30:00 AM","8,51"
"SRV005246","2019/11/30 3:00:00 AM","8,22"
"SRV005246","2019/11/30 3:30:00 AM","7,56"
"SRV005246","2019/11/30 4:00:00 AM","8,29"
"SRV005246","2019/11/30 4:30:00 AM","7,99"
"SRV005246","2019/11/30 5:00:00 AM","8,35"
"SRV005246","2019/11/30 5:30:00 AM","8,11"
"SRV005246","2019/11/30 6:00:00 AM","7,81"
"SRV005246","2019/11/30 6:30:00 AM","8,09"
"SRV005246","2019/11/30 7:00:00 AM","8,26"
"SRV005246","2019/11/30 7:30:00 AM","8,09"
"SRV005246","2019/11/30 8:00:00 AM","8,28"
"SRV005246","2019/11/30 8:30:00 AM","7,71"
"SRV005246","2019/11/30 9:00:00 AM","8,26"
"SRV005246","2019/11/30 9:30:00 AM","8,11"
"SRV005246","2019/11/30 10:00:00 AM","8,45"
"SRV005246","2019/11/30 10:30:00 AM","8,12"
"SRV005246","2019/11/30 11:00:00 AM","7,85"
"SRV005246","2019/11/30 11:30:00 AM","8,11"
"SRV005246","2019/11/30 12:00:00 PM","8,45"
"SRV005246","2019/11/30 12:30:00 PM","8,11"
"SRV005246","2019/11/30 1:00:00 PM","8,27"
"SRV005246","2019/11/30 1:30:00 PM","8,48"
"SRV005246","2019/11/30 2:00:00 PM","8,25"
"SRV005246","2019/11/30 2:30:00 PM","8,12"
"SRV005246","2019/11/30 3:00:00 PM","8,31"
"SRV005246","2019/11/30 3:30:00 PM","8,12"
"SRV005246","2019/11/30 4:00:00 PM","7,79"
"SRV005246","2019/11/30 4:30:00 PM","8,5"
"SRV005246","2019/11/30 5:00:00 PM","8,37"
"SRV005246","2019/11/30 5:30:00 PM","8,25"
"SRV005246","2019/11/30 6:00:00 PM","9,25"
"SRV005246","2019/11/30 6:30:00 PM","7,7"
"SRV005246","2019/11/30 7:00:00 PM","8,19"
"SRV005246","2019/11/30 7:30:00 PM","8,04"
"SRV005246","2019/11/30 8:00:00 PM","8,27"
"SRV005246","2019/11/30 8:30:00 PM","8,02"
"SRV005246","2019/11/30 9:00:00 PM","7,76"
"SRV005246","2019/11/30 9:30:00 PM","8,08"
"SRV005246","2019/11/30 10:00:00 PM","8,43"
"SRV005246","2019/11/30 10:30:00 PM","7,95"
"SRV005246","2019/11/30 11:00:00 PM","8,33"
"SRV005246","2019/11/30 11:30:00 PM","7,6"
"SRV005246","2019/12/01 12:00:00 AM","8,15"
"SRV005246","2019/12/01 12:30:00 AM","8,12"
"SRV005246","2019/12/01 1:00:00 AM","8,84"
"SRV005246","2019/12/01 1:30:00 AM","8,08"
"SRV005246","2019/12/01 2:00:00 AM","7,85"
"SRV005246","2019/12/01 2:30:00 AM","8,19"
"SRV005246","2019/12/01 3:00:00 AM","8,3"
"SRV005246","2019/12/01 3:30:00 AM","8,06"
"SRV005246","2019/12/01 4:00:00 AM","8,35"
"SRV005246","2019/12/01 4:30:00 AM","7,57"
"SRV005246","2019/12/01 5:00:00 AM","8,25"
"SRV005246","2019/12/01 5:30:00 AM","8,09"
"SRV005246","2019/12/01 6:00:00 AM","8,31"
"SRV005246","2019/12/01 6:30:00 AM","8,23"
"SRV005246","2019/12/01 7:00:00 AM","7,8"
"SRV005246","2019/12/01 7:30:00 AM","8,27"
"SRV005246","2019/12/01 8:00:00 AM","8,4"
"SRV005246","2019/12/01 8:30:00 AM","8,18"
"SRV005246","2019/12/01 9:00:00 AM","8,39"
"SRV005246","2019/12/01 9:30:00 AM","7,67"
"SRV005246","2019/12/01 10:00:00 AM","8,4"
"SRV005246","2019/12/01 10:30:00 AM","8,16"
"SRV005246","2019/12/01 11:00:00 AM","8,37"
"SRV005246","2019/12/01 11:30:00 AM","8,13"
"SRV005246","2019/12/01 12:00:00 PM","7,87"
"SRV005246","2019/12/01 12:30:00 PM","8,19"
"SRV005246","2019/12/01 1:00:00 PM","8,94"
"SRV005246","2019/12/01 1:30:00 PM","8,24"
"SRV005246","2019/12/01 2:00:00 PM","8,33"
"SRV005246","2019/12/01 2:30:00 PM","7,85"
"SRV005246","2019/12/01 3:00:00 PM","8,71"
"SRV005246","2019/12/01 3:30:00 PM","8,27"
"SRV005246","2019/12/01 4:00:00 PM","8,79"
"SRV005246","2019/12/01 4:30:00 PM","8,19"
"SRV005246","2019/12/01 5:00:00 PM","7,94"
"SRV005246","2019/12/01 5:30:00 PM","8,25"
"SRV005246","2019/12/01 6:00:00 PM","8,86"
"SRV005246","2019/12/01 6:30:00 PM","8,32"
"SRV005246","2019/12/01 7:00:00 PM","8,37"
"SRV005246","2019/12/01 7:30:00 PM","8,09"
"SRV005246","2019/12/01 8:00:00 PM","8,34"
"SRV005246","2019/12/01 8:30:00 PM","8,18"
"SRV005246","2019/12/01 9:00:00 PM","8,71"
